"data";"valor"
"01/02/2004";"50,2"
"01/03/2004";"539,4"
"01/04/2004";"-934,1"
"01/05/2004";"1254,6"
"01/06/2004";"1754,7"
"01/07/2004";"1529,1"
"01/08/2004";"1506,8"
"01/09/2004";"1491,5"
"01/10/2004";"782,4"
"01/11/2004";"-467,8"
"01/12/2004";"937,9"
"01/01/2005";"630,6"
"01/02/2005";"-47,9"
"01/03/2005";"1562,3"
"01/04/2005";"555,1"
"01/05/2005";"343,1"
"01/06/2005";"1070,5"
"01/07/2005";"2344,4"
"01/08/2005";"544,8"
"01/09/2005";"2157,7"
"01/10/2005";"667,5"
"01/11/2005";"1526,6"
"01/12/2005";"324,7"
"01/01/2006";"-532,1"
"01/02/2006";"412,0"
"01/03/2006";"1063,4"
"01/04/2006";"-94,5"
"01/05/2006";"174,9"
"01/06/2006";"377,7"
"01/07/2006";"2818,4"
"01/08/2006";"1917,2"
"01/09/2006";"2002,1"
"01/10/2006";"1296,0"
"01/11/2006";"1133,7"
"01/12/2006";"205,2"
"01/01/2007";"-638,4"
"01/02/2007";"114,1"
"01/03/2007";"-0,8"
"01/04/2007";"1533,7"
"01/05/2007";"-477,1"
"01/06/2007";"151,6"
"01/07/2007";"-1226,5"
"01/08/2007";"945,7"
"01/09/2007";"216,6"
"01/10/2007";"-568,3"
"01/11/2007";"-1927,9"
"01/12/2007";"-876,5"
"01/01/2008";"-5083,6"
"01/02/2008";"-2376,4"
"01/03/2008";"-4695,3"
"01/04/2008";"-3459,4"
"01/05/2008";"-1374,6"
"01/06/2008";"-3280,0"
"01/07/2008";"-3587,6"
"01/08/2008";"-1727,3"
"01/09/2008";"-3322,1"
"01/10/2008";"-1745,5"
"01/11/2008";"-1481,8"
"01/12/2008";"-3468,1"
"01/01/2009";"-3727,7"
"01/02/2009";"-854,1"
"01/03/2009";"-1830,2"
"01/04/2009";"-89,8"
"01/05/2009";"-2110,4"
"01/06/2009";"-830,0"
"01/07/2009";"-2799,0"
"01/08/2009";"-1073,9"
"01/09/2009";"-2707,5"
"01/10/2009";"-3298,9"
"01/11/2009";"-3759,1"
"01/12/2009";"-6247,7"
"01/01/2010";"-8312,9"
"01/02/2010";"-6121,2"
"01/03/2010";"-8642,9"
"01/04/2010";"-6752,6"
"01/05/2010";"-5434,3"
"01/06/2010";"-7184,6"
"01/07/2010";"-9819,6"
"01/08/2010";"-6082,6"
"01/09/2010";"-8029,3"
"01/10/2010";"-7008,9"
"01/11/2010";"-8488,6"
"01/12/2010";"-4840,3"
"01/01/2011";"-10286,1"
"01/02/2011";"-5205,0"
"01/03/2011";"-6744,3"
"01/04/2011";"-6175,8"
"01/05/2011";"-6665,5"
"01/06/2011";"-6180,6"
"01/07/2011";"-8791,0"
"01/08/2011";"-6118,1"
"01/09/2011";"-5695,2"
"01/10/2011";"-6014,4"
"01/11/2011";"-8501,2"
"01/12/2011";"-7199,0"
"01/01/2012";"-12403,4"
"01/02/2012";"-5385,1"
"01/03/2012";"-6866,3"
"01/04/2012";"-6873,0"
"01/05/2012";"-6888,2"
"01/06/2012";"-7745,9"
"01/07/2012";"-8650,4"
"01/08/2012";"-4883,0"
"01/09/2012";"-5560,0"
"01/10/2012";"-7965,5"
"01/11/2012";"-9874,6"
"01/12/2012";"-9582,9"
"01/01/2013";"-13782,4"
"01/02/2013";"-6596,5"
"01/03/2013";"-7146,6"
"01/04/2013";"-7499,5"
"01/05/2013";"-7058,7"
"01/06/2013";"-4257,5"
"01/07/2013";"-12369,1"
"01/08/2013";"-5964,2"
"01/09/2013";"-4990,1"
"01/10/2013";"-7597,4"
"01/11/2013";"-6105,8"
"01/12/2013";"-5016,4"
"01/01/2014";"-14125,7"
"01/02/2014";"-8905,3"
"01/03/2014";"-8299,0"
"01/04/2014";"-8953,4"
"01/05/2014";"-7469,3"
"01/06/2014";"-5421,4"
"01/07/2014";"-11100,4"
"01/08/2014";"-6717,2"
"01/09/2014";"-8746,8"
"01/10/2014";"-10050,9"
"01/11/2014";"-10526,1"
"01/12/2014";"-10178,0"
"01/01/2015";"-12797,1"
"01/02/2015";"-8160,8"
"01/03/2015";"-6560,7"
"01/04/2015";"-6366,4"
"01/05/2015";"-4220,1"
"01/06/2015";"-3916,4"
"01/07/2015";"-6583,7"
"01/08/2015";"-2989,5"
"01/09/2015";"-3002,0"
"01/10/2015";"-5029,0"
"01/11/2015";"-3863,9"
"01/12/2015";"80,8"
"01/01/2016";"-6043,6"
"01/02/2016";"-1787,1"
"01/03/2016";"-1994,9"
"01/04/2016";"-1125,7"
"01/05/2016";"839,5"
"01/06/2016";"-3180,6"
"01/07/2016";"-4409,7"
"01/08/2016";"-1478,7"
"01/09/2016";"-1816,0"
"01/10/2016";"-3657,9"
"01/11/2016";"-878,5"
"01/12/2016";"-4995,6"
"01/01/2017";"-6993,4"
"01/02/2017";"-539,1"
"01/03/2017";"-124,3"
"01/04/2017";"-1055,4"
"01/05/2017";"1479,2"
"01/06/2017";"-559,1"
"01/07/2017";"-4403,2"
"01/08/2017";"-1305,2"
"01/09/2017";"-1672,9"
"01/10/2017";"-2609,7"
"01/11/2017";"-3923,9"
"01/12/2017";"-3556,5"
"01/01/2018";"-7812,0"
"01/02/2018";"-5959,7"
"01/03/2018";"-3270,0"
"01/04/2018";"-2683,1"
"01/05/2018";"-1777,4"
"01/06/2018";"-2478,9"
"01/07/2018";"-8483,0"
"01/08/2018";"-4821,4"
"01/09/2018";"-2379,3"
"01/10/2018";"-3105,8"
"01/11/2018";"-4044,7"
"01/12/2018";"-7003,0"
"01/01/2019";"-9246,5"
"01/02/2019";"-2796,2"
"01/03/2019";"-3603,3"
"01/04/2019";"-2896,5"
"01/05/2019";"-3275,8"
"01/06/2019";"-2611,8"
"01/07/2019";"-11453,8"
"01/08/2019";"-6210,6"
"01/09/2019";"-3713,8"
"01/10/2019";"-9146,2"
"01/11/2019";"-4175,3"
"01/12/2019";"-4829,8"
"01/01/2020";"-10746,4"
"01/02/2020";"-4872,3"
"01/03/2020";"-3387,2"
"01/04/2020";"2177,3"
"01/05/2020";"445,0"
"01/06/2020";"3078,3"
"01/07/2020";"-377,3"
"01/08/2020";"1204,7"
"01/09/2020";"36,4"
"01/10/2020";"-1151,9"
"01/11/2020";"-2411,6"
"01/12/2020";"-8218,3"
"01/01/2021";"-8218,7"
"01/02/2021";"-4009,8"
"01/03/2021";"-8168,9"
"01/04/2021";"4018,7"
"01/05/2021";"2835,9"
"01/06/2021";"2486,3"
"01/07/2021";"-3041,8"
"01/08/2021";"-1677,8"
"01/09/2021";"-3168,9"
"01/10/2021";"-5695,8"
"01/11/2021";"-7841,1"
"01/12/2021";"-6915,7"
"01/01/2022";"-6916,7"
"01/02/2022";"-1486,1"
"01/03/2022";"-1799,3"
"01/04/2022";"1669,6"
"01/05/2022";"-3451,9"
"01/06/2022";"892,8"
"01/07/2022";"-5299,3"
"01/08/2022";"-6639,7"
"01/09/2022";"-6744,8"
"01/10/2022";"-4762,3"
"01/11/2022";"-606,8"
"01/12/2022";"-6815,5"
"01/01/2023";"-7857,6"
"01/02/2023";"-4504,9"
"01/03/2023";"-1713,3"
"01/04/2023";"-1245,8"
"01/05/2023";"270,7"
"01/06/2023";"-1389,7"
"01/07/2023";"-3237,5"
"01/08/2023";"-585,1"
"01/09/2023";"-1167,3"
"01/10/2023";"184,5"
"01/11/2023";"-239,7"
"01/12/2023";"-5587,6"
"01/01/2024";"-3556,6"
"01/02/2024";"-3685,5"
"01/03/2024";"-6547,5"
"01/04/2024";"-2160,1"
"01/05/2024";"-2046,4"
"01/06/2024";"-4969,3"
"01/07/2024";"-6628,8"
"01/08/2024";"-7149,5"
"01/09/2024";"-7382,7"
"01/10/2024";"-7386,8"
"01/11/2024";"-4418,5"
"01/12/2024";"-10236,6"
"01/01/2025";"-9837,2"
"01/02/2025";"-10266,5"
"01/03/2025";"-3124,0"
"01/04/2025";"-2005,7"
"01/05/2025";"-3680,4"
"01/06/2025";"-5711,4"
"01/07/2025";"-7516,0"
"01/08/2025";"-4669,0"
